track_id,album_id,album_title,artist_id,artist_name,track_date_recorded,track_genres,track_interest,track_number,track_title,artist_nacionality,track_price,artist_nacionality,track_price
2,1,AWOL - A Way Of Life,1,AWOL,11/26/2008,Hip-Hop,4656,3,Food,Australiano,1.07,Italiano,0.81
3,1,AWOL - A Way Of Life,1,AWOL,11/26/2008,Hip-Hop,1470,4,Electric Ave,Indiano,0.72,Americano,1.04
5,1,AWOL - A Way Of Life,1,AWOL,11/26/2008,Hip-Hop,1933,6,This World,Espanhol,0.74,Americano,1.25
10,6,Constant Hitmaker,6,Kurt Vile,11/26/2008,Pop,54881,1,Freeway,Chinês,1.37,Canadiano,1.04
20,4,Niris,4,Nicky Cook,01/01/2008,Singer-Songwriter,978,3,Spiritual Level,Japonês,0.77,Russo,0.89
26,4,Niris,4,Nicky Cook,01/01/2008,Singer-Songwriter,1060,4,Where is your Love?,Australiano,1.36,Francês,0.73
30,4,Niris,4,Nicky Cook,01/01/2008,Singer-Songwriter,718,5,Too Happy,Americano,1.05,Chinês,0.98
46,4,Niris,4,Nicky Cook,01/01/2008,Singer-Songwriter,252,8,Yosemite,Indiano,0.89,Canadiano,0.84
48,4,Niris,4,Nicky Cook,01/01/2008,Singer-Songwriter,247,9,Light of Light,Espanhol,1.03,Mexicano,1.27
134,1,AWOL - A Way Of Life,1,AWOL,11/26/2008,Hip-Hop,1126,5,Street Music,Espanhol,1.19,Inglês,1.01
135,58,mp3,52,Abominog,11/26/2008,Psych-Rock,2484,0,Father's Day,Francês,1.19,Mexicano,0.75
136,58,mp3,52,Abominog,11/26/2008,Psych-Rock,1948,0,Peel Back The Mountain Sky,Espanhol,1.19,Inglês,0.75
137,59,Live at LACE,53,Airway,4/27/1978,Noise,2559,1,Side A,Indiano,1.09,Indiano,0.93
138,59,Live at LACE,53,Airway,4/27/1978,Noise,1909,2,Side B,Brasileiro,1.14,Inglês,1.07
139,60,Every Man For Himself,54,Alec K. Redfearn & the Eyesores,11/26/2008,Folk,702,2,CandyAss,Italiano,0.76,Australiano,1.02
140,61,The Blind Spot,54,Alec K. Redfearn & the Eyesores,11/26/2008,Folk,1593,2,Queen Of The Wires,Espanhol,0.85,Inglês,1.05
141,60,Every Man For Himself,54,Alec K. Redfearn & the Eyesores,11/26/2008,Folk,839,4,Ohio,Canadiano,0.7,Espanhol,1.17
142,62,The Quiet Room,54,Alec K. Redfearn & the Eyesores,11/26/2008,Folk,1223,5,Punjabi Watery Grave,Japonês,1.22,Canadiano,1.05
144,64,Amoebiasis,56,Amoebic Ensemble,11/26/1998,Jazz,1146,1,Wire Up,Russo,1.07,Americano,0.98
145,64,Amoebiasis,56,Amoebic Ensemble,11/26/1998,Jazz,968,3,Amoebiasis,Francês,0.81,Australiano,0.77
146,65,Limbic Rage,56,Amoebic Ensemble,11/26/1995,Jazz,855,6,Gimme a Buck or I'll Touch You / Boilermaker,Brasileiro,1.12,Italiano,1.1
147,65,Limbic Rage,56,Amoebic Ensemble,11/26/1995,Jazz,930,7,Repetitive Motion Sickness,Espanhol,0.78,Australiano,1.12
148,66,Contradiction,57,Contradiction,08/01/2002,Avant-Garde,2437,2,Blackout 2,Japonês,1.38,Inglês,1.31
149,67,Two Gong/Wire Pieces,58,Andy Hayleck,01/01/2006,Avant-Garde,1103,2,Outside the window bees buzzed...,Português,1.34,Alemão,0.81
150,67,Two Gong/Wire Pieces,58,Andy Hayleck,01/01/2006,Avant-Garde,1071,1,... listening to the sunshine burn the grass,Canadiano,0.87,Japonês,0.9
151,68,Make Them Suffer,59,Animal Writes,,Punk,701,4,Untitled 04,Mexicano,1.13,Italiano,1.25
152,68,Make Them Suffer,59,Animal Writes,,Punk,637,11,Untitled 11,Indiano,0.9,Espanhol,0.86
153,69,Arc and Sender,60,Arc and Sender,11/26/2008,Post-Rock,354,2,Hundred-Year Flood,Espanhol,0.8,Francês,0.99
154,69,Arc and Sender,60,Arc and Sender,11/26/2008,Post-Rock,242,4,Squares And Circles,Brasileiro,0.95,Russo,0.81
155,70,unreleased demo,60,Arc and Sender,11/26/2008,Post-Rock,268,0,Maps of the Stars Homes,Australiano,1.1,Chinês,1.36
156,71,Thee Haunted Cobblestone Sunset Concert Series #7,546,Area C,8/20/2004,Field Recordings,345,1,Track 01,Americano,0.92,Chinês,1.08
